Feature,Coefficient
Intercept,2838257.3786976878
population,64.30611306959524
building_count,10590.49382657088
avg_b_levels,-1043336.218467562
residential,-10931.02581623281
count_density,524.0686633732639
area_sqkm,-26319.35542943106
commercial,17681.306028097108
industrial,-635.893724752134
others,28221.601163546802
service,-10118.299809552742
unknown,-13627.194014383414
