district,population,building_count,avg_b_levels,commercial,industrial,others,residential,service,unknown,area_sqkm,road_count_pedestrian,road_length_pedestrian_km,count_density,pedestrian_flow_combined
Черёмушки,108600.0,971,7.4089285714285715,109,133,41,339,257,92,5.467512032258849,941,0.000985620894942012,19845.47,18690877.934434123
Чертаново Северное,114500.0,572,9.48314606741573,45,60,19,164,203,81,6.207304873762198,1140,0.0011355334807935718,21204.81,21028449.97218363
Чертаново Центральное,116600.0,729,8.282958199356914,45,113,23,179,289,80,6.869629804076268,802,0.000902635195559508,17898.47,13612553.029351244
Чертаново Южное,149200.0,1015,8.240506329113924,63,16,27,245,516,148,9.14518253507459,1088,0.0011764765223988875,15998.61,17750285.396427687
Щукино,109800.0,1817,4.310248198558847,68,30,50,428,1010,231,7.963927766536955,1778,0.001528769120363253,14339.66,24513582.45868315
Южное Бутово,206500.0,3098,5.667989417989418,81,54,62,1270,1501,130,26.005379406189785,1667,0.0023750538187578426,8142.8,13237088.166383963
Южное Медведково,85300.0,537,8.193370165745856,32,111,21,180,146,47,3.885429555528169,630,0.000614525502167224,22041.49,13830903.181230098
Южное Тушино,108600.0,1439,4.151234567901234,119,176,34,335,333,442,7.88778781663294,1611,0.0012445416729943083,13725.19,22180439.442231707
Южнопортовый,74200.0,840,6.041095890410959,92,68,41,235,291,113,4.58080893030153,779,0.0007194492897263134,16418.54,12618251.684248969
Якиманка,27500.0,1305,3.5157680569684637,294,38,73,204,561,135,4.8031687907987815,2233,0.0015381093643325214,5747.71,12784789.099570192
Ярославский,97500.0,1372,4.790625,75,7,16,206,874,194,8.352749705603541,792,0.0007692978065093712,12247.68,9244859.80325689
Ясенево,177700.0,1152,4.1557719054242,92,16,46,152,467,379,24.81812282130447,1903,0.00230527681617633,7010.13,13625651.804322312
